1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
124	-0.090507	387.873839	0.013390	2.7
125	-0.007449	386.843173	0.002658	3.0
126	-0.175468	385.819777	0.003436	2.5
127	-0.232054	384.803569	0.004533	2.5
128	-0.262833	383.794468	0.006530	2.9
129	-0.221011	382.792393	0.010236	2.6
130	-0.184850	381.797264	0.005693	2.5
131	-0.181544	380.809005	0.012997	3.1
132	-0.297336	379.827537	0.006444	2.6
133	-0.321069	378.852786	0.010233	2.7
134	-0.192859	377.884678	0.008766	2.7
135	-0.201926	376.923138	0.005466	2.7
136	-0.005902	375.968095	0.001575	2.7
137	-0.297584	375.019479	0.005621	3.3
138	-0.010827	374.077218	0.001474	2.6
139	-0.005037	373.141244	0.001672	2.7
140	-0.192737	372.211489	0.004072	2.7
141	-0.047645	371.287887	0.008746	2.7
142	-0.079693	370.370370	0.009067	2.8
143	-0.049966	369.458876	0.008240	3.0
144	-0.021958	368.553338	0.005949	2.9
145	-0.270938	367.653696	0.008694	2.8
146	-0.016100	366.759885	0.001600	2.7
147	-0.428946	365.871846	0.010155	2.7
148	-0.387212	364.989518	0.005817	2.8
149	-0.125370	364.112841	0.005602	3.1
150	-0.021161	363.241757	0.002269	2.8
151	-0.111236	362.376208	0.003914	2.7
152	-0.122278	361.516137	0.005578	2.7
153	-0.073212	360.661488	0.009434	2.8
154	-0.005285	359.812206	0.003602	2.9
155	-0.585538	358.968236	0.011524	3.1
156	-0.043297	358.129524	0.005001	2.7
157	-0.045199	357.296018	0.009583	2.8
158	-0.401972	356.467665	0.008762	2.7
159	-0.019539	355.644414	0.002181	2.8
160	-0.186917	354.826213	0.015816	3.4
161	-0.016229	354.013012	0.001573	3.2
162	-0.068374	353.204763	0.009893	2.7
163	-0.592145	352.401415	0.008971	2.8
164	-0.075057	351.602922	0.009793	2.8
165	-0.497132	350.809235	0.013487	3.0
166	-0.404925	350.020308	0.005705	3.2
167	-0.088423	349.236095	0.006514	2.9
168	-0.379706	348.456550	0.003722	2.8
169	-0.194490	347.681627	0.005691	2.7
170	-0.088525	346.911283	0.006255	3.1
171	-0.404366	346.145474	0.009703	3.6
172	-0.027737	345.384157	0.002752	3.1
173	-0.053384	344.627288	0.009203	3.0
174	-0.012232	343.874826	0.003263	3.0
175	-0.055308	343.126729	0.007735	3.3
176	-0.213382	342.382957	0.002815	3.4
177	-0.003154	341.643469	0.000797	3.9
178	-0.011759	340.908224	0.001357	2.8
179	-0.049755	340.177184	0.004828	2.8
180	-0.002207	339.450309	0.000835	2.9
181	-0.025302	338.727561	0.001650	3.2
182	-0.076325	338.008902	0.011243	3.2
183	-0.082103	337.294295	0.014469	2.7
184	-0.094440	336.583703	0.004906	2.9
185	-0.132709	335.877089	0.009489	2.9
186	-0.470121	335.174416	0.008604	2.8
187	-0.030121	334.475651	0.004309	3.1
188	-0.411629	333.780756	0.009788	3.6
189	-0.103823	333.089698	0.004638	2.7
190	-0.025332	332.402443	0.003457	2.7
191	-0.249742	331.718955	0.003960	2.8
192	-0.297887	331.039203	0.009103	2.7
193	-0.013818	330.363153	0.003135	4.6
194	-0.156805	329.690771	0.005580	24.9
195	-0.032655	329.022027	0.002142	11.6
196	-0.143091	328.356888	0.007634	7.7
197	-0.298710	327.695322	0.010262	5.8
198	-0.276298	327.037299	0.003602	3.1
199	-0.072627	326.382787	0.012802	2.7
200	-0.286799	325.731758	0.004445	2.7
201	-0.356683	325.084179	0.008047	2.8
202	-0.053481	324.440023	0.011325	3.2
203	-0.233584	323.799258	0.013300	2.9
204	-0.018704	323.161858	0.006328	2.7
205	-0.049019	322.527792	0.007493	2.7
206	-0.134317	321.897034	0.011466	2.8
207	-0.435109	321.269554	0.011657	2.7
208	-0.242101	320.645325	0.002181	3.4
209	-0.025940	320.024320	0.002051	2.8
210	-0.098587	319.406512	0.010174	2.6
211	-0.057521	318.791875	0.004776	2.7
212	-0.102669	318.180381	0.004530	2.8
213	-0.303309	317.572005	0.004554	2.7
214	-0.471513	316.966721	0.007201	3.2
215	-0.152394	316.364504	0.006414	2.8
216	-0.456336	315.765329	0.010669	2.6
217	-0.255420	315.169170	0.003463	2.8
218	-0.342195	314.576003	0.005909	2.7
219	-0.186084	313.985804	0.005995	2.8
220	-0.002512	313.398548	0.000709	3.2
221	-0.088477	312.814213	0.006796	2.7
222	-0.403003	312.232773	0.009800	2.8
223	-0.323821	311.654207	0.008555	2.8
224	-0.202549	311.078491	0.008480	2.7
225	-0.070650	310.505602	0.007037	3.0
226	-0.412208	309.935518	0.007140	3.2
227	-0.026908	309.368217	0.002005	3.3
228	-0.010362	308.803676	0.004581	3.3
229	-0.006477	308.241874	0.001897	3.0
230	-0.062591	307.682789	0.009822	3.3
231	-0.045615	307.126400	0.008341	3.3
232	-0.283736	306.572687	0.008042	3.5
233	-0.010009	306.021627	0.002347	3.4
234	-0.363152	305.473201	0.008778	2.7
235	-0.425347	304.927388	0.013994	2.8
236	-0.021717	304.384168	0.005564	3.2
237	-0.398237	303.843521	0.007799	2.7
238	-0.451377	303.305427	0.008806	2.8
239	-0.082505	302.769867	0.013768	2.7
240	-0.075990	302.236821	0.010022	2.7
241	-0.562950	301.706270	0.009578	3.0
242	-0.431104	301.178196	0.011140	3.7
243	-0.032172	300.652580	0.006407	2.8
244	-0.005206	300.129402	0.001082	2.8
245	-0.130370	299.608645	0.005172	2.8
246	-0.095702	299.090291	0.012137	2.9
247	-0.122672	298.574321	0.004794	3.3
248	-0.004660	298.060718	0.001286	2.8
249	-0.227003	297.549465	0.007261	3.0
250	-0.111595	297.040543	0.008815	2.8
251	-0.211443	296.533936	0.004745	2.8
252	-0.078856	296.029626	0.012077	3.1
253	-0.015576	295.527597	0.004021	3.1
254	-0.063341	295.027832	0.007067	2.8
255	-0.491186	294.530315	0.009504	2.8
256	-0.062307	294.035028	0.006440	2.8
257	-0.451210	293.541956	0.008532	2.9
258	-0.502714	293.051083	0.008797	3.4
259	-0.054467	292.562393	0.004598	3.0
260	-0.157036	292.075870	0.001300	2.9
261	-0.395700	291.591498	0.010216	2.9
262	-0.040236	291.109263	0.003900	3.4
263	-0.060004	290.629149	0.010003	3.4
264	-0.069515	290.151140	0.003499	3.5
265	-0.143566	289.675222	0.012665	3.1
266	-0.129998	289.201380	0.008302	3.0
267	-0.365616	288.729600	0.009297	2.9
268	-0.041389	288.259866	0.005768	2.6
269	-0.329717	287.792165	0.011017	3.3
270	-0.064296	287.326481	0.011049	2.9
271	-0.002991	286.862802	0.000955	2.7
272	-0.047495	286.401113	0.003705	2.6
273	-0.010027	285.941400	0.002643	2.7
274	-0.080427	285.483649	0.005291	2.8
275	-0.048325	285.027847	0.008501	3.2
276	-0.308692	284.573981	0.005150	2.8
277	-0.115467	284.122037	0.008336	2.7
278	-0.065707	283.672002	0.009542	2.6
279	-0.431444	283.223863	0.005415	2.6
280	-0.012580	282.777607	0.001469	2.8
281	-0.497401	282.333221	0.005664	3.2
282	-0.151184	281.890692	0.008404	2.7
283	-0.034583	281.450008	0.002360	2.5
284	-0.095474	281.011157	0.004606	2.6
285	-0.155214	280.574125	0.005811	2.5
286	-0.013791	280.138901	0.004108	2.7
287	-0.228105	279.705473	0.005690	3.0
288	-0.014110	279.273829	0.003333	2.6
289	-0.065925	278.843956	0.010991	2.5
290	-0.426736	278.415844	0.010889	2.5
291	-0.031616	277.989479	0.008561	2.5
292	-0.409154	277.564851	0.011398	2.6
293	-0.072714	277.141949	0.011398	3.1
294	-0.179212	276.720761	0.005976	2.8
295	-0.319986	276.301275	0.011176	2.6
296	-0.025532	275.883480	0.005557	2.6
297	-0.489564	275.467366	0.010936	2.8
298	-0.036546	275.052922	0.008376	2.8
299	-0.160631	274.640136	0.005840	3.1
300	-0.077994	274.228998	0.009862	2.7
301	-0.069335	273.819497	0.004542	2.5
302	-0.053416	273.411623	0.004030	2.5
303	-0.070559	273.005365	0.003615	2.6
304	-0.384614	272.600712	0.006361	2.5
305	-0.010710	272.197655	0.001819	3.4
306	-0.097344	271.796184	0.008528	3.4
307	-0.204816	271.396287	0.006333	3.0
308	-0.242614	270.997956	0.007425	4.1
309	-0.312125	270.601180	0.005578	3.1
310	-0.343242	270.205949	0.011514	3.6
311	-0.261990	269.812254	0.008574	2.7
312	-0.009564	269.420085	0.003787	2.5
313	-0.436645	269.029432	0.006459	2.6
314	-0.452906	268.640287	0.012758	2.5
315	-0.074292	268.252638	0.012236	2.7
316	-0.009745	267.866478	0.002224	3.1
317	-0.007204	267.481796	0.001998	2.7
318	-0.049851	267.098584	0.005978	2.7
319	-0.007987	266.716833	0.003596	2.7
320	-0.270852	266.336533	0.004997	2.8
321	-0.342402	265.957676	0.007077	2.8
322	-0.338715	265.580253	0.008735	3.1
323	-0.264229	265.204254	0.013369	2.7
324	-0.400200	264.829672	0.006575	2.4
325	-0.009216	264.456497	0.001908	2.5
326	-0.329975	264.084721	0.006336	2.5
327	-0.027816	263.714335	0.005080	2.4
328	-0.534594	263.345332	0.008703	3.0
329	-0.009954	262.977702	0.001393	2.7
330	-0.330295	262.611438	0.009527	2.4
331	-0.080202	262.246531	0.011911	2.6
332	-0.015580	261.882973	0.002074	2.5
333	-0.084493	261.520756	0.012921	2.6
334	-0.336341	261.159871	0.007908	2.8
335	-0.018289	260.800312	0.003438	3.1
336	-0.010918	260.442070	0.003108	2.7
337	-0.031826	260.085137	0.005067	2.5
338	-0.010481	259.729505	0.004352	2.6
339	-0.121091	259.375167	0.004913	2.5
340	-0.018320	259.022116	0.002599	2.6
341	-0.015351	258.670343	0.003345	3.1
342	-0.312103	258.319841	0.008663	2.9
343	-0.010562	257.970602	0.002115	2.5
344	-0.323481	257.622620	0.007618	2.6
345	-0.015790	257.275887	0.005345	2.7
346	-0.284603	256.930396	0.011362	2.9
347	-0.058806	256.586139	0.005242	3.1
348	-0.510215	256.243109	0.008108	2.6
349	-0.132401	255.901300	0.002979	2.6
350	-0.041964	255.560703	0.006460	2.6
351	-0.029104	255.221313	0.005373	2.6
352	-0.217553	254.883122	0.004183	3.0
353	-0.025467	254.546124	0.004278	2.9
354	-0.055316	254.210311	0.004182	2.6
355	-0.227942	253.875677	0.002379	2.7
356	-0.211609	253.542215	0.002607	2.7
357	-0.084510	253.209918	0.013614	2.7
358	-0.014105	252.878781	0.004176	3.0
359	-0.391529	252.548795	0.012755	3.1
360	-0.048426	252.219956	0.007620	2.7
361	-0.026116	251.892255	0.005338	2.5
362	-0.061602	251.565688	0.009503	2.8
363	-0.095812	251.240247	0.005298	2.8
364	-0.251126	250.915926	0.006634	2.9
365	-0.161672	250.592720	0.010286	3.4
366	-0.085134	250.270621	0.012775	2.9
367	-0.088211	249.949624	0.008307	2.8
368	-0.056137	249.629723	0.007129	2.7
369	-0.028643	249.310911	0.003814	3.2
370	-0.382621	248.993182	0.008561	4.0
371	-0.012820	248.676531	0.003185	3.0
372	-0.332921	248.360952	0.004611	3.1
373	-0.068589	248.046438	0.009063	2.8
374	-0.270897	247.732984	0.005837	2.5
375	-0.017407	247.420584	0.004602	2.8
376	-0.349182	247.109233	0.009783	2.8
377	-0.434663	246.798924	0.006514	2.7
378	-0.011235	246.489652	0.003141	2.6
379	-0.390326	246.181412	0.006407	2.5
380	-0.002904	245.874197	0.001304	2.6
381	-0.132395	245.568002	0.005989	2.6
382	-0.154566	245.262822	0.009531	3.1
383	-0.451064	244.958652	0.006979	2.5
384	-0.200800	244.655485	0.006573	2.7
385	-0.052231	244.353317	0.006067	2.5
386	-0.439060	244.052142	0.014232	2.5
387	-0.092621	243.751955	0.012895	2.6
388	-0.270449	243.452750	0.003890	3.0
389	-0.540061	243.154523	0.008463	2.7
390	-0.045891	242.857268	0.006997	2.8
391	-0.238312	242.560980	0.006172	2.7
392	-0.035553	242.265654	0.006374	2.5
393	-0.074179	241.971285	0.008938	2.5
394	-0.003862	241.677868	0.002200	3.1
395	-0.142592	241.385397	0.005575	2.5
396	-0.255596	241.093869	0.005108	2.5
397	-0.376210	240.803278	0.004966	2.8
398	-0.189451	240.513619	0.012203	2.5
399	-0.294353	240.224887	0.007918	2.5
400	-0.129223	239.937077	0.007996	3.0
401	-0.560412	239.650186	0.007509	2.6
402	-0.368086	239.364207	0.008808	2.5
403	-0.591869	239.079136	0.011101	2.6
404	-0.281629	238.794969	0.009571	2.6
405	-0.011058	238.511701	0.001794	2.6
406	-0.015526	238.229327	0.002994	2.7
407	-0.130355	237.947843	0.012694	3.0
408	-0.123719	237.667244	0.008936	2.5
409	-0.065625	237.387526	0.011982	2.6
410	-0.037783	237.108684	0.005181	2.5
411	-0.096810	236.830714	0.001822	2.9
412	-0.239168	236.553610	0.006647	2.7
413	-0.042476	236.277370	0.005042	3.2
414	-0.120701	236.001989	0.007230	2.7
415	-0.225970	235.727461	0.004601	2.9
416	-0.057608	235.453784	0.010932	2.7
417	-0.012697	235.180952	0.004957	2.8
418	-0.101312	234.908962	0.009087	3.8
419	-0.012174	234.637809	0.005360	2.8
420	-0.015996	234.367488	0.001730	2.8
421	-0.008242	234.097997	0.002771	3.1
422	-0.242662	233.829331	0.004515	3.1
423	-0.259531	233.561485	0.005296	3.5
424	-0.072037	233.294456	0.012162	3.4
425	-0.018927	233.028239	0.002090	2.8
426	-0.011943	232.762831	0.005022	2.8
427	-0.398620	232.498228	0.005308	2.9
428	-0.002982	232.234425	0.001618	2.9
429	-0.077416	231.971419	0.010528	3.4
430	-0.214949	231.709205	0.005512	2.8
431	-0.007649	231.447781	0.002943	3.0
432	-0.005636	231.187141	0.001612	3.4
433	-0.620533	230.927283	0.010054	3.0
434	-0.199706	230.668202	0.005278	3.8
435	-0.305452	230.409895	0.006818	3.0
436	-0.454751	230.152358	0.010545	2.8
437	-0.343560	229.895587	0.012485	2.8
438	-0.011350	229.639578	0.003927	2.7
439	-0.072693	229.384329	0.006835	3.1
440	-0.208673	229.129834	0.006344	3.1
441	-0.112965	228.876091	0.003972	2.8
442	-0.202395	228.623096	0.003309	3.0
443	-0.108725	228.370846	0.006345	2.7
444	-0.609562	228.119336	0.011730	2.6
445	-0.104610	227.868563	0.016116	3.4
446	-0.006178	227.618525	0.001976	2.9
447	-0.091145	227.369216	0.010122	2.9
448	-0.345680	227.120635	0.011698	2.8
449	-0.299811	226.872777	0.005902	2.8
450	-0.247334	226.625638	0.009126	3.1
451	-0.091688	226.379217	0.003268	3.3
452	-0.381555	226.133509	0.014912	2.8
453	-0.406234	225.888510	0.006565	2.9
454	-0.518786	225.644218	0.008762	2.8
455	-0.309267	225.400630	0.005008	2.8
456	-0.209857	225.157741	0.006752	3.1
457	-0.456151	224.915549	0.011418	3.1
458	-0.394871	224.674051	0.005415	13.6
459	-0.065349	224.433242	0.012272	11.1
460	-0.114564	224.193121	0.011390	3.6
461	-0.217333	223.953684	0.007094	5.4
462	-0.054635	223.714927	0.005770	5.4
463	-0.017347	223.476848	0.004816	2.9
464	-0.054984	223.239444	0.007634	3.1
465	-0.016429	223.002710	0.004268	3.0
466	-0.079839	222.766645	0.011299	2.7
467	-0.063216	222.531245	0.011584	2.7
468	-0.064722	222.296508	0.011321	2.7
469	-0.364391	222.062429	0.004703	2.8
470	-0.065223	221.829007	0.004947	3.3
471	-0.026786	221.596238	0.005130	2.7
472	-0.396639	221.364119	0.007309	2.8
473	-0.462842	221.132647	0.009741	2.7
474	-0.015805	220.901820	0.005119	2.8
475	-0.411651	220.671634	0.008015	3.3
476	-0.008110	220.442086	0.003242	2.6
477	-0.100176	220.213174	0.005232	2.8
478	-0.170786	219.984895	0.005332	2.8
479	-0.081012	219.757246	0.012273	2.9
480	-0.026142	219.530224	0.004125	3.1
481	-0.055479	219.303826	0.003221	4.2
482	-0.332836	219.078050	0.008924	3.5
483	-0.301511	218.852893	0.007259	3.5
484	-0.063663	218.628352	0.003347	3.4
485	-0.035741	218.404424	0.002898	4.1
486	-0.126721	218.181106	0.007720	3.3
487	-0.337882	217.958397	0.006212	3.4
488	-0.362295	217.736292	0.009427	2.9
489	-0.030213	217.514790	0.003546	3.2
490	-0.003991	217.293888	0.001580	3.1
491	-0.060899	217.073584	0.010971	3.3
492	-0.698978	216.853873	0.010116	3.2
493	-0.660541	216.634755	0.009409	2.8
494	-0.038984	216.416227	0.007177	2.9
495	-0.335669	216.198285	0.011521	3.4
496	-0.308610	215.980927	0.005777	3.9
497	-0.228801	215.764151	0.004774	3.0
498	-0.405350	215.547955	0.005091	2.8
499	-0.249425	215.332335	0.007714	3.1
500	-0.048304	215.117289	0.005881	3.2
501	-0.052339	214.902815	0.011230	3.0
502	-0.092327	214.688911	0.013619	2.7
503	-0.082039	214.475573	0.008903	2.4
504	-0.245059	214.262800	0.006332	2.5
505	-0.013000	214.050588	0.001836	2.4
506	-0.015979	213.838936	0.003891	2.5
507	-0.211636	213.627842	0.007836	2.9
508	-0.042182	213.417302	0.005252	2.7
509	-0.431233	213.207314	0.007413	2.5
510	-0.055328	212.997877	0.003773	2.5
511	-0.036896	212.788987	0.007770	2.5
512	-0.107831	212.580642	0.012879	2.5
513	-0.050564	212.372841	0.008643	2.7
514	-0.216102	212.165581	0.002903	3.0
515	-0.267861	211.958859	0.005362	2.5
516	-0.041610	211.752673	0.005672	2.5
517	-0.069358	211.547021	0.007744	2.6
518	-0.359865	211.341902	0.003578	2.4
519	-0.143751	211.137311	0.005004	2.6
520	-0.072469	210.933248	0.012240	3.0
521	-0.503780	210.729710	0.008584	2.5
522	-0.108806	210.526695	0.007939	2.4
523	-0.003078	210.324200	0.000757	2.5
524	-0.040211	210.122224	0.002294	2.5
525	-0.020399	209.920765	0.003920	2.5
526	-0.006147	209.719820	0.001103	2.9
527	-0.071729	209.519387	0.003847	2.6
528	-0.185644	209.319463	0.002512	2.5
529	-0.007819	209.120048	0.001962	2.4
530	-0.005192	208.921139	0.001193	2.6
531	-0.161864	208.722733	0.004351	2.4
532	-0.282346	208.524829	0.004935	2.5
533	-0.174841	208.327425	0.004762	3.0
534	-0.050766	208.130518	0.007110	2.5
535	-0.507439	207.934107	0.006651	2.6
536	-0.541374	207.738189	0.007347	2.6
537	-0.058236	207.542762	0.007974	2.5
538	-0.039445	207.347825	0.008264	2.5
539	-0.125282	207.153376	0.008804	3.1
540	-0.393733	206.959412	0.006122	2.6
541	-0.084477	206.765932	0.011836	2.5
542	-0.250389	206.572933	0.006887	2.6
543	-0.445596	206.380414	0.006113	2.5
544	-0.239816	206.188373	0.005058	2.6
545	-0.082267	205.996807	0.012937	3.2
546	-0.256497	205.805716	0.005741	2.7
547	-0.341921	205.615096	0.004248	2.5
548	-0.003991	205.424946	0.001202	2.7
549	-0.011455	205.235265	0.004058	2.7
550	-0.048435	205.046050	0.007731	2.6
551	-0.023458	204.857299	0.003235	3.2
552	-0.015541	204.669011	0.001539	2.6
553	-0.054058	204.481184	0.006623	2.7
554	-0.003680	204.293816	0.001375	2.7
555	-0.198176	204.106905	0.005711	2.7
556	-0.222763	203.920449	0.012508	2.7
557	-0.041462	203.734447	0.007115	3.1
558	-0.293894	203.548896	0.010218	2.7
559	-0.505682	203.363795	0.009057	2.5
560	-0.034658	203.179143	0.006487	2.6
561	-0.188753	202.994937	0.004090	2.5
562	-0.025468	202.811176	0.002931	2.6
563	-0.039436	202.627857	0.010190	2.8
564	-0.005623	202.444980	0.001900	3.0
565	-0.273983	202.262543	0.009005	2.8
566	-0.019732	202.080543	0.002227	2.7
567	-0.022346	201.898979	0.004873	2.8
568	-0.310110	201.717849	0.006945	2.9
569	-0.080191	201.537153	0.013861	3.6
570	-0.032184	201.356887	0.006543	2.8
571	-0.082269	201.177050	0.006954	2.7
572	-0.309886	200.997642	0.008695	2.8
573	-0.325630	200.818659	0.007546	2.7
574	-0.059931	200.640100	0.008061	2.8
575	-0.365542	200.461965	0.008597	3.5
576	-0.480097	200.284250	0.008908	2.7
577	-0.010183	200.106955	0.003461	2.8
578	-0.169935	199.930078	0.003597	3.5
579	-0.117221	199.753617	0.013463	3.4
580	-0.398366	199.577571	0.007437	3.5
581	-0.109794	199.401938	0.011091	2.8
582	-0.281213	199.226717	0.006942	2.8
583	-0.121869	199.051905	0.005046	2.8
584	-0.445663	198.877502	0.008102	2.8
585	-0.536141	198.703506	0.011912	2.8
586	-0.232157	198.529916	0.006707	3.5
587	-0.064074	198.356729	0.007574	3.5
588	-0.365141	198.183944	0.005139	3.4
589	-0.177304	198.011560	0.005220	3.3
590	-0.107430	197.839576	0.007343	2.9
591	-0.007795	197.667989	0.001021	3.2
592	-0.643389	197.496798	0.012037	2.5
593	-0.226610	197.326002	0.005224	2.5
594	-0.390416	197.155600	0.009863	2.6
595	-0.385451	196.985589	0.009833	2.7
596	-0.229234	196.815969	0.004495	2.7
597	-0.151818	196.646738	0.004105	3.1
598	-0.015976	196.477894	0.005811	2.7
599	-0.287383	196.309436	0.005832	2.5
600	-0.177578	196.141363	0.007919	2.6
601	-0.313127	195.973673	0.009460	2.6
602	-0.067699	195.806365	0.005274	2.7
603	-0.027823	195.639437	0.006425	3.1
604	-0.036550	195.472888	0.004929	2.7
605	-0.093704	195.306717	0.007994	2.5
606	-0.045285	195.140922	0.002206	2.5
607	-0.358681	194.975501	0.008437	2.6
608	-0.001410	194.810454	0.000680	2.5
609	-0.454625	194.645779	0.010968	3.3
610	-0.093502	194.481475	0.009803	2.6
611	-0.507320	194.317540	0.010449	2.6
612	-0.298411	194.153973	0.009108	2.5
613	-0.268043	193.990773	0.005873	2.5
614	-0.011026	193.827938	0.002110	2.5
615	-0.048745	193.665467	0.009344	3.3
616	-0.070763	193.503358	0.006192	2.6
617	-0.527376	193.341611	0.011594	2.5
618	-0.413666	193.180224	0.005020	2.6
619	-0.499918	193.019196	0.011313	2.6
620	-0.018787	192.858525	0.002306	2.8
621	-0.016396	192.698210	0.004266	3.2
622	-0.007807	192.538251	0.001731	2.7
623	-0.245761	192.378644	0.005162	2.5
624	-0.472006	192.219391	0.007229	2.6
625	-0.063460	192.060488	0.008526	2.6
626	-0.225620	191.901935	0.004686	2.6
627	-0.689795	191.743730	0.010195	3.2
628	-0.011227	191.585873	0.002767	2.6
629	-0.214606	191.428362	0.007204	2.6
630	-0.293660	191.271196	0.006545	2.6
631	-0.003551	191.114374	0.001540	2.5
632	-0.008715	190.957893	0.002166	2.4
