1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.049966	369.458876	0.008240	3.6
144	-0.021958	368.553338	0.005949	3.9
145	-0.270938	367.653696	0.008694	3.5
146	-0.016100	366.759885	0.001600	4.0
147	-0.428946	365.871846	0.010155	3.8
148	-0.387212	364.989518	0.005817	6.7
149	-0.125370	364.112841	0.005602	10.2
150	-0.021161	363.241757	0.002269	5.5
151	-0.111236	362.376208	0.003914	4.1
152	-0.122278	361.516137	0.005578	4.4
153	-0.073212	360.661488	0.009434	5.8
154	-0.005285	359.812206	0.003602	3.9
155	-0.585538	358.968236	0.011524	4.9
156	-0.043297	358.129524	0.005001	5.2
157	-0.045199	357.296018	0.009583	4.8
158	-0.401972	356.467665	0.008762	4.1
159	-0.019539	355.644414	0.002181	5.3
160	-0.186917	354.826213	0.015816	6.9
161	-0.016229	354.013012	0.001573	7.6
162	-0.068374	353.204763	0.009893	5.6
163	-0.592145	352.401415	0.008971	5.4
164	-0.075057	351.602922	0.009793	5.3
165	-0.497132	350.809235	0.013487	5.9
166	-0.404925	350.020308	0.005705	5.6
167	-0.088423	349.236095	0.006514	4.9
168	-0.379706	348.456550	0.003722	5.0
169	-0.194490	347.681627	0.005691	4.6
170	-0.088525	346.911283	0.006255	4.7
171	-0.404366	346.145474	0.009703	4.4
172	-0.027737	345.384157	0.002752	5.3
173	-0.053384	344.627288	0.009203	3.8
174	-0.012232	343.874826	0.003263	4.2
175	-0.055308	343.126729	0.007735	3.9
176	-0.213382	342.382957	0.002815	4.5
177	-0.003154	341.643469	0.000797	3.7
178	-0.011759	340.908224	0.001357	4.5
179	-0.049755	340.177184	0.004828	4.2
180	-0.002207	339.450309	0.000835	4.5
181	-0.025302	338.727561	0.001650	3.7
182	-0.076325	338.008902	0.011243	4.3
183	-0.082103	337.294295	0.014469	4.8
184	-0.094440	336.583703	0.004906	5.2
185	-0.132709	335.877089	0.009489	4.1
186	-0.470121	335.174416	0.008604	4.4
187	-0.030121	334.475651	0.004309	4.3
188	-0.411629	333.780756	0.009788	4.1
189	-0.103823	333.089698	0.004638	4.0
190	-0.025332	332.402443	0.003457	4.4
191	-0.249742	331.718955	0.003960	4.2
192	-0.297887	331.039203	0.009103	4.1
193	-0.013818	330.363153	0.003135	4.1
194	-0.156805	329.690771	0.005580	4.3
195	-0.032655	329.022027	0.002142	4.3
196	-0.143091	328.356888	0.007634	4.2
197	-0.298710	327.695322	0.010262	4.0
198	-0.276298	327.037299	0.003602	4.1
199	-0.072627	326.382787	0.012802	4.2
200	-0.286799	325.731758	0.004445	4.0
201	-0.356683	325.084179	0.008047	3.8
202	-0.053481	324.440023	0.011325	4.5
203	-0.233584	323.799258	0.013300	4.6
204	-0.018704	323.161858	0.006328	3.8
205	-0.049019	322.527792	0.007493	4.0
206	-0.134317	321.897034	0.011466	4.1
207	-0.435109	321.269554	0.011657	4.4
208	-0.242101	320.645325	0.002181	4.2
209	-0.025940	320.024320	0.002051	4.0
210	-0.098587	319.406512	0.010174	4.4
211	-0.057521	318.791875	0.004776	6.8
212	-0.102669	318.180381	0.004530	13.2
213	-0.303309	317.572005	0.004554	8.1
214	-0.471513	316.966721	0.007201	5.5
215	-0.152394	316.364504	0.006414	5.4
216	-0.456336	315.765329	0.010669	4.3
217	-0.255420	315.169170	0.003463	5.3
218	-0.342195	314.576003	0.005909	4.9
219	-0.186084	313.985804	0.005995	4.1
220	-0.002512	313.398548	0.000709	7.3
221	-0.088477	312.814213	0.006796	6.7
222	-0.403003	312.232773	0.009800	6.2
223	-0.323821	311.654207	0.008555	6.3
224	-0.202549	311.078491	0.008480	5.0
225	-0.070650	310.505602	0.007037	4.5
226	-0.412208	309.935518	0.007140	5.2
227	-0.026908	309.368217	0.002005	4.5
228	-0.010362	308.803676	0.004581	5.8
229	-0.006477	308.241874	0.001897	4.9
230	-0.062591	307.682789	0.009822	6.7
231	-0.045615	307.126400	0.008341	5.0
232	-0.283736	306.572687	0.008042	5.0
233	-0.010009	306.021627	0.002347	7.8
234	-0.363152	305.473201	0.008778	9.5
235	-0.425347	304.927388	0.013994	12.8
236	-0.021717	304.384168	0.005564	9.3
237	-0.398237	303.843521	0.007799	5.9
238	-0.451377	303.305427	0.008806	7.8
239	-0.082505	302.769867	0.013768	6.6
240	-0.075990	302.236821	0.010022	7.3
241	-0.562950	301.706270	0.009578	8.7
242	-0.431104	301.178196	0.011140	5.5
243	-0.032172	300.652580	0.006407	6.9
244	-0.005206	300.129402	0.001082	6.4
245	-0.130370	299.608645	0.005172	11.7
246	-0.095702	299.090291	0.012137	8.1
247	-0.122672	298.574321	0.004794	6.9
248	-0.004660	298.060718	0.001286	4.6
249	-0.227003	297.549465	0.007261	5.3
250	-0.111595	297.040543	0.008815	6.4
251	-0.211443	296.533936	0.004745	4.5
252	-0.078856	296.029626	0.012077	5.1
253	-0.015576	295.527597	0.004021	17.3
254	-0.063341	295.027832	0.007067	10.0
255	-0.491186	294.530315	0.009504	8.0
256	-0.062307	294.035028	0.006440	6.7
257	-0.451210	293.541956	0.008532	4.9
258	-0.502714	293.051083	0.008797	5.7
259	-0.054467	292.562393	0.004598	14.8
260	-0.157036	292.075870	0.001300	12.3
261	-0.395700	291.591498	0.010216	7.2
262	-0.040236	291.109263	0.003900	5.4
263	-0.060004	290.629149	0.010003	4.7
264	-0.069515	290.151140	0.003499	5.0
265	-0.143566	289.675222	0.012665	5.1
266	-0.129998	289.201380	0.008302	4.5
267	-0.365616	288.729600	0.009297	5.6
268	-0.041389	288.259866	0.005768	5.4
269	-0.329717	287.792165	0.011017	4.5
270	-0.064296	287.326481	0.011049	6.3
271	-0.002991	286.862802	0.000955	6.3
272	-0.047495	286.401113	0.003705	5.0
273	-0.010027	285.941400	0.002643	4.5
274	-0.080427	285.483649	0.005291	5.9
275	-0.048325	285.027847	0.008501	9.0
276	-0.308692	284.573981	0.005150	5.4
277	-0.115467	284.122037	0.008336	4.6
278	-0.065707	283.672002	0.009542	6.3
279	-0.431444	283.223863	0.005415	5.5
280	-0.012580	282.777607	0.001469	4.5
281	-0.497401	282.333221	0.005664	4.3
282	-0.151184	281.890692	0.008404	4.2
283	-0.034583	281.450008	0.002360	5.0
284	-0.095474	281.011157	0.004606	3.9
285	-0.155214	280.574125	0.005811	4.4
286	-0.013791	280.138901	0.004108	4.4
287	-0.228105	279.705473	0.005690	4.5
288	-0.014110	279.273829	0.003333	4.0
289	-0.065925	278.843956	0.010991	4.8
290	-0.426736	278.415844	0.010889	5.2
291	-0.031616	277.989479	0.008561	3.9
292	-0.409154	277.564851	0.011398	5.4
293	-0.072714	277.141949	0.011398	4.2
294	-0.179212	276.720761	0.005976	26.9
295	-0.319986	276.301275	0.011176	35.1
296	-0.025532	275.883480	0.005557	6.9
297	-0.489564	275.467366	0.010936	8.7
298	-0.036546	275.052922	0.008376	6.7
299	-0.160631	274.640136	0.005840	4.5
